,contractID,symbol,expiration,date,strike,type,last,mark,bid,ask,volume,open_interest,implied_volatility
1,IBM241025C00105000,IBM,2024-10-25,2024-10-25,105.00,call,112.54,109.67,108.55,110.80,0,3,4.09979
2,IBM241025P00105000,IBM,2024-10-25,2024-10-25,105.00,put,0.00,0.01,0.00,0.21,0,0,4.43832
3,IBM241025C00110000,IBM,2024-10-25,2024-10-25,110.00,call,0.00,105.15,103.75,106.55,0,0,6.46571
4,IBM241025P00110000,IBM,2024-10-25,2024-10-25,110.00,put,0.00,0.01,0.00,0.01,0,0,4.16470
5,IBM241025C00115000,IBM,2024-10-25,2024-10-25,115.00,call,0.00,99.82,98.85,100.80,0,0,5.09410
6,IBM241025P00115000,IBM,2024-10-25,2024-10-25,115.00,put,0.00,0.01,0.00,0.01,0,1,3.90282
7,IBM241025C00120000,IBM,2024-10-25,2024-10-25,120.00,call,0.00,94.88,94.00,95.75,0,0,5.01117
8,IBM241025P00120000,IBM,2024-10-25,2024-10-25,120.00,put,0.00,0.01,0.00,0.01,0,2,3.65160
9,IBM241025C00125000,IBM,2024-10-25,2024-10-25,125.00,call,0.00,90.15,88.75,91.55,0,0,5.35034
10,IBM241025P00125000,IBM,2024-10-25,2024-10-25,125.00,put,0.00,0.01,0.00,0.01,0,2,3.41030
11,IBM241025C00130000,IBM,2024-10-25,2024-10-25,130.00,call,0.00,84.45,83.25,85.65,0,0,3.16522
12,IBM241025P00130000,IBM,2024-10-25,2024-10-25,130.00,put,0.00,0.01,0.00,0.01,0,0,3.17799
13,IBM241025C00135000,IBM,2024-10-25,2024-10-25,135.00,call,0.00,79.82,78.10,81.55,0,0,3.88102
14,IBM241025P00135000,IBM,2024-10-25,2024-10-25,135.00,put,0.00,0.01,0.00,0.21,0,0,2.95375
15,IBM241025C00140000,IBM,2024-10-25,2024-10-25,140.00,call,77.77,74.85,73.15,76.55,5,5,3.70526
16,IBM241025P00140000,IBM,2024-10-25,2024-10-25,140.00,put,0.00,0.01,0.00,0.01,0,0,2.73714
17,IBM241025C00145000,IBM,2024-10-25,2024-10-25,145.00,call,70.32,69.92,68.30,71.55,1,3,3.61487
18,IBM241025P00145000,IBM,2024-10-25,2024-10-25,145.00,put,0.00,0.01,0.00,0.01,0,0,2.52739
19,IBM241025C00150000,IBM,2024-10-25,2024-10-25,150.00,call,64.99,64.78,63.00,66.55,1,1,2.93135
20,IBM241025P00150000,IBM,2024-10-25,2024-10-25,150.00,put,0.00,0.01,0.00,0.01,0,2,2.32404
21,IBM241025C00155000,IBM,2024-10-25,2024-10-25,155.00,call,0.00,59.62,58.20,61.05,0,0,2.23064
22,IBM241025P00155000,IBM,2024-10-25,2024-10-25,155.00,put,0.00,0.01,0.00,0.01,0,20,2.12649
23,IBM241025C00160000,IBM,2024-10-25,2024-10-25,160.00,call,0.00,55.08,54.00,56.15,0,0,3.06412
24,IBM241025P00160000,IBM,2024-10-25,2024-10-25,160.00,put,0.00,0.01,0.00,0.01,0,0,1.93427
25,IBM241025C00165000,IBM,2024-10-25,2024-10-25,165.00,call,66.90,49.58,48.35,50.80,0,23,1.85681
26,IBM241025P00165000,IBM,2024-10-25,2024-10-25,165.00,put,0.00,0.01,0.00,0.21,0,3,1.74708
27,IBM241025C00170000,IBM,2024-10-25,2024-10-25,170.00,call,62.90,44.40,43.00,45.80,0,7,1.66990
28,IBM241025P00170000,IBM,2024-10-25,2024-10-25,170.00,put,0.00,0.01,0.00,0.01,0,46,1.56415
29,IBM241025C00175000,IBM,2024-10-25,2024-10-25,175.00,call,58.11,39.88,38.20,41.55,0,1,1.98625
30,IBM241025P00175000,IBM,2024-10-25,2024-10-25,175.00,put,0.00,0.01,0.00,0.01,0,739,1.38520
31,IBM241025C00180000,IBM,2024-10-25,2024-10-25,180.00,call,34.67,34.90,33.25,36.55,1,0,1.77955
32,IBM241025P00180000,IBM,2024-10-25,2024-10-25,180.00,put,0.00,0.01,0.00,0.01,0,438,1.20974
33,IBM241025C00185000,IBM,2024-10-25,2024-10-25,185.00,call,34.83,29.88,28.20,31.55,0,0,1.51568
34,IBM241025P00185000,IBM,2024-10-25,2024-10-25,185.00,put,0.01,0.01,0.00,0.01,10,141,1.03749
35,IBM241025C00190000,IBM,2024-10-25,2024-10-25,190.00,call,26.00,24.62,24.10,25.15,10,18,0.92224
36,IBM241025P00190000,IBM,2024-10-25,2024-10-25,190.00,put,0.01,0.01,0.00,0.01,1,492,0.86752
37,IBM241025C00192500,IBM,2024-10-25,2024-10-25,192.50,call,27.22,22.33,21.10,23.55,0,0,1.10517
38,IBM241025P00192500,IBM,2024-10-25,2024-10-25,192.50,put,0.00,0.01,0.00,0.01,0,72,0.78338
39,IBM241025C00195000,IBM,2024-10-25,2024-10-25,195.00,call,22.80,19.58,19.10,20.05,1,21,0.73532
40,IBM241025P00195000,IBM,2024-10-25,2024-10-25,195.00,put,0.01,0.01,0.00,0.01,8,635,0.69939
41,IBM241025C00197500,IBM,2024-10-25,2024-10-25,197.50,call,22.21,17.35,15.90,18.80,0,0,0.90609
42,IBM241025P00197500,IBM,2024-10-25,2024-10-25,197.50,put,0.01,0.01,0.00,0.02,9,234,0.61570
43,IBM241025C00200000,IBM,2024-10-25,2024-10-25,200.00,call,14.69,15.02,14.35,15.70,15,46,0.92850
44,IBM241025P00200000,IBM,2024-10-25,2024-10-25,200.00,put,0.01,0.01,0.00,0.01,51,860,0.53201
45,IBM241025C00202500,IBM,2024-10-25,2024-10-25,202.50,call,14.72,11.90,10.85,12.95,0,4,0.45495
46,IBM241025P00202500,IBM,2024-10-25,2024-10-25,202.50,put,0.04,0.01,0.00,0.01,8,608,0.44818
47,IBM241025C00205000,IBM,2024-10-25,2024-10-25,205.00,call,12.65,10.05,9.35,10.75,42,49,0.68628
48,IBM241025P00205000,IBM,2024-10-25,2024-10-25,205.00,put,0.01,0.01,0.00,0.01,308,867,0.36373
49,IBM241025C00207500,IBM,2024-10-25,2024-10-25,207.50,call,7.50,7.50,6.75,8.25,2,12,0.52683
50,IBM241025P00207500,IBM,2024-10-25,2024-10-25,207.50,put,0.01,0.01,0.00,0.01,117,712,0.27836
51,IBM241025C00210000,IBM,2024-10-25,2024-10-25,210.00,call,4.90,4.67,4.35,5.00,112,165,0.17458
52,IBM241025P00210000,IBM,2024-10-25,2024-10-25,210.00,put,0.01,0.01,0.00,0.01,541,1479,0.19102
53,IBM241025C00212500,IBM,2024-10-25,2024-10-25,212.50,call,1.90,2.17,1.86,2.48,67,253,0.08112
54,IBM241025P00212500,IBM,2024-10-25,2024-10-25,212.50,put,0.01,0.01,0.00,0.01,776,919,0.09940
55,IBM241025C00215000,IBM,2024-10-25,2024-10-25,215.00,call,0.06,0.03,0.01,0.05,857,386,0.02852
56,IBM241025P00215000,IBM,2024-10-25,2024-10-25,215.00,put,0.32,0.49,0.40,0.58,9305,3368,0.07059
57,IBM241025C00217500,IBM,2024-10-25,2024-10-25,217.50,call,0.01,0.01,0.00,0.02,1325,945,0.12059
58,IBM241025P00217500,IBM,2024-10-25,2024-10-25,217.50,put,2.99,2.86,2.62,3.10,1332,1428,0.16785
59,IBM241025C00220000,IBM,2024-10-25,2024-10-25,220.00,call,0.01,0.01,0.00,0.01,1402,1428,0.20718
60,IBM241025P00220000,IBM,2024-10-25,2024-10-25,220.00,put,5.53,5.25,4.90,5.60,1923,2278,0.19925
61,IBM241025C00222500,IBM,2024-10-25,2024-10-25,222.50,call,0.01,0.01,0.00,0.01,581,1238,0.28842
62,IBM241025P00222500,IBM,2024-10-25,2024-10-25,222.50,put,7.75,7.75,6.80,8.70,1137,1339,0.29271
63,IBM241025C00225000,IBM,2024-10-25,2024-10-25,225.00,call,0.01,0.01,0.00,0.01,108,671,0.36617
64,IBM241025P00225000,IBM,2024-10-25,2024-10-25,225.00,put,10.55,10.65,10.00,11.30,215,554,0.68323
65,IBM241025C00227500,IBM,2024-10-25,2024-10-25,227.50,call,0.02,0.01,0.00,0.02,81,306,0.44132
66,IBM241025P00227500,IBM,2024-10-25,2024-10-25,227.50,put,12.35,12.80,11.70,13.90,37,101,0.30153
67,IBM241025C00230000,IBM,2024-10-25,2024-10-25,230.00,call,0.01,0.01,0.00,0.01,140,586,0.51418
68,IBM241025P00230000,IBM,2024-10-25,2024-10-25,230.00,put,15.45,15.15,13.60,16.70,134,251,0.57308
69,IBM241025C00232500,IBM,2024-10-25,2024-10-25,232.50,call,0.01,0.01,0.00,0.01,119,1824,0.58521
70,IBM241025P00232500,IBM,2024-10-25,2024-10-25,232.50,put,17.68,17.52,16.75,18.30,8,168,0.66654
71,IBM241025C00235000,IBM,2024-10-25,2024-10-25,235.00,call,0.01,0.01,0.00,0.01,56,1898,0.65457
72,IBM241025P00235000,IBM,2024-10-25,2024-10-25,235.00,put,20.03,20.15,18.45,21.85,4,30,0.76000
73,IBM241025C00237500,IBM,2024-10-25,2024-10-25,237.50,call,0.01,0.01,0.00,0.01,9,1252,0.72241
74,IBM241025P00237500,IBM,2024-10-25,2024-10-25,237.50,put,21.95,22.82,21.75,23.90,1,0,0.78567
